series,episode,baker_name,first_name,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
2,5,Mary-Anne Boermans,Mary-Anne,2,IN,Chicken and Bacon Pie,Midnight Meringue,45,Housewife,"Kidderminster, Worcestershire"
2,6,Mary-Anne Boermans,Mary-Anne,4,IN,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel,45,Housewife,"Kidderminster, Worcestershire"
2,7,Mary-Anne Boermans,Mary-Anne,2,IN,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,45,Housewife,"Kidderminster, Worcestershire"
2,8,Mary-Anne Boermans,Mary-Anne,3,Runner-up,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,45,Housewife,"Kidderminster, Worcestershire"
2,1,Robert Billington,Robert,3,IN,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,25,Photographer,London
2,2,Robert Billington,Robert,5,IN,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",25,Photographer,London
2,3,Robert Billington,Robert,4,IN,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,25,Photographer,London
2,4,Robert Billington,Robert,7,IN,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,25,Photographer,London
2,5,Robert Billington,Robert,3,OUT,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,25,Photographer,London
2,6,Robert Billington,Robert,NA,NA,NA,NA,25,Photographer,London
2,7,Robert Billington,Robert,NA,NA,NA,NA,25,Photographer,London
2,8,Robert Billington,Robert,NA,NA,NA,NA,25,Photographer,London
2,1,Simon Blackwell,Simon,9,IN,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,31,Rugby Coach,Norfolk
2,2,Simon Blackwell,Simon,11,OUT,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",31,Rugby Coach,Norfolk
2,3,Simon Blackwell,Simon,NA,NA,NA,NA,31,Rugby Coach,Norfolk
